Title,Author,ISBN,My Rating,Average Rating,Publisher,Binding,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,My Review,Media
"Tress, A Garota do Mar Esmeralda",Brandon Sanderson,9786589132943,5,,Trama,,,,2023-09-15,,,,0
Imperfeitos,Christina Lauren,9786559571284,3.5,,Faro Editorial,,,,2023-09-15,,,,2
A Destruidora De Casamentos,Mia Sosa,9786559702664,4,,Harlequin,,,,2023-08-30,,,,0
Conquistada pelo Bilionário Italiano,T. M. Kechichian,0553380958,2.5,,Independente,,,,2023-08-27,,,,0
"Amor, teoricamente",Ali Hazelwood,9786555655254,5,,Arqueiro,,,,2023-08-21,,,,0
Aliança de Casamento,Jasmine Guillory,9788542216431,2.5,,Essência,,,,2023-08-20,,,,0
Le Petit Prince,Antoine de Saint-Exupéry,2070256626,4,,Gallimard,,,,2023-08-14,,,,0
A Razão do Amor,Ali Hazelwood,9786555653991,5,,Arqueiro,,,,2023-08-14,,,,0
ALEXANDER STONE,Cleo Luz,0553380958,2,,AMAZON,,,,2023-08-08,,,,0
Segredo lascivo,Natália Dias,0553380958,2.5,,Independente,,,,2023-08-06,,,,0
Só Entre Nós Dois,Fernanda Santana,0553380958,2.5,,Independente,,,,2023-08-03,,,,0
A Lenda de Ruff Ghanor,Leonel Caldela,0553380958,4,,Nerdbooks,,,,2023-08-01,,,,0
Loucos Por Livros,Emily Henry,9786559241538,4,,Verus,,,,2023-07-31,,,,0
A Boa Sorte,Álex Rovira Celma,9788543103259,3,,Sextante,,,,2023-07-25,,,,0
Obcecado pela Protegida,D. A. Lemoyne,0553380958,0,,Independente,,,,2023-07-24,,,,0
O Juiz Bad Boy,Bianca Pohndorf,0553380958,0,,Independente,,,,2023-07-24,,,,0
Quando o conde encontra seu par,Stacy Reid,0553380958,0,,L3 Book Publishing,,,,2023-07-24,,,,0
Se não fosse por você,Laura Amorim,0553380958,4,,Literare Books Internacional,,,,2023-07-08,,,,0
A Paixão do Visconde,Stefany Nunes,0553380958,2.5,,Independente,,,,2023-07-07,,,,0
UM CASAMENTO FORÇADO,Ivy Matarazzo,0553380958,3,,Independente,,,,2023-07-04,,,,0
Essencialismo,Greg McKeown,8543102146,4.5,,Sextante,,,,2023-06-28,,,,2
Pecados No Inverno,Lisa Kleypas,0553380958,4,,Arqueiro,,,,2023-06-23,,,,0
"Meu Grande Amor, Lucily",Julie Lopo,0553380958,3,,independente,,,,2023-06-04,,,,0
Quem Mexeu no Meu Queijo?,Spencer Johnson,9788501112064,4,,Record,,,,2023-06-03,,,,0
Abaixo de Zero,Ali Hazelwood,9786555654585,5,,Arqueiro,,,,2023-05-30,,,,2
O Duque Que Eu Conquistei,Scarlett Peckham,9788580418682,3,,Arqueiro,,,,2023-05-30,,,,0
Presa com você,Ali Hazelwood,9786555654448,4,,Arqueiro,,,,2023-05-29,,,,0
Uma Duquesa Para Me Fazer Amar,Diane Bergher,0553380958,3,,Independente,,,,2023-05-29,,,,0
O Mais Desejado dos Highlanders,Maya Banks,0553380958,3,,Universo dos Livros,,,,2023-05-21,,,,2
Sob o mesmo teto,Ali Hazelwood,9786555654356,4,,Arqueiro,,,,2023-05-21,,,,2
Um Acordo com o Conde,Flávia Padula,0553380958,3,,Independente,,,,2023-05-20,,,,0
De olho em você,Amy Lea,9786555654332,5,,Arqueiro,,,,2023-05-05,,,,2
A Filha de Laiden,Suzan Tisdale,0553380958,2.5,,Babelcube Inc.,,,,2023-04-24,,,,0
Doutor Arrogância,Bianca Pohndorf,0553380958,2,,Independente,,,,2023-04-24,,,,1
